Unnamed: 0,dataset,image_number,title,tags_ko,motion_exist,greenscreen_exist
26,dataset1,31,20210725_소통_염승철,"['인물', '소통', '다행', '위로', '안심', '괜찮아']",False,True
27,dataset1,33,(드론) 인천 송도 전경,"['도시', '건물', '경제', '발전', '전경', '빌딩', '기술', '인천', '고층', '중심부', '고층빌딩', '도심부', '송도', '산업', '성장', '중심', '신기술', '기업']",False,False
28,dataset1,34,20210912_장소_망원한강공원_한강변으로 뛰어온 여자 픽스샷,['장소'],False,False
29,dataset1,35,20210724_제스처_김보미_노크하다,"['인물', '손', '노크', '제스쳐', '주먹', '똑똑']",False,True
30,dataset1,37,여수,['지도'],True,False
31,dataset1,38,성수구름다리_성동구_강북강변로 (5),"['도시', '자동차', '서울', '구름', '한강', '교통']",False,False
33,dataset1,40,풍차1,"['나무', '한국', '유원지', '여행', '바람', '휴가', '풍차', '네덜란드', '날개']",False,False
34,dataset1,41,20210901_사물_크래파스_카키색,['사물'],False,False
35,dataset1,43,한국 전통문화 물레 위 반원형 무늬 찍어내는 도예가,"['인물', '직업', '전통', '흙', '도자기', '예술', '문화', '물레', '패턴', '무늬', '한국']",False,False
36,dataset1,44,동물원 헤엄치는 물개들,"['물', '바다', '동물', '포유류', '동물원', '야생', '야생동물', '수영', '귀여움', '모피']",False,False
37,dataset1,45,20210918_장소_조천_스위스마을 전경(드론),['장소'],False,False
38,dataset1,47,로딩중,['로딩'],True,False
39,dataset1,48,라이브 카메라 화면,"['방송', '카메라', '촬영', '크리에이터', '라이브', '소셜미디어']",True,True
40,dataset1,49,커서 클릭,"['감성', '투명', '마우스', '클릭']",True,True
41,dataset1,50,천호대교_강동구_한강 (2),"['풍경', '도시', '물', '서울', '공원', '배경', '구름', '한강', '한강공원', '다리', '강가', '강변']",False,False
42,dataset1,51,제스처_숫자를 세다(1~5),"['인물', '숫자', '손', '손가락', '제스쳐', '카운팅']",False,False
43,dataset1,52,20210914_장소_성덕정 나들목_틸업샷,"['전통', '문화', '한국', '장소', '역사']",False,False
44,dataset1,53,20210912_장소_서울역_서울로 위를 걷는 여자 상반신 팔로샷,"['밤', '저녁', '상쾌', '데이트', '장소', '청바지', '걷기', '여자', '서울', '시원', '감정', '바람', '쓸쓸', '퇴근', '서울역']",False,False
45,dataset1,54,복주머니 원숭이,"['캐릭터', '복', '한국전통', '새해', '명절', '행운', '근하신년', '연하장', '전통문양', '희망', '원숭이']",True,False
46,dataset1,55,강남사거리_드론직부_회전,"['도시', '자동차', '서울', '회전', '도심', '항공샷', '드론샷', '드론뷰', '교통', '강남', '강남사거리', '사거리', '교차로', '트래픽', '체증', '교통체증']",False,False
47,dataset1,56,20210724_장소_바다_광치기 해변에서 바라본 성산일출봉,"['풍경', '하늘', '장소', '바다', '파도', '제주도', '제주', '해변', '모래', '랜드마크', '모래사장', '해수욕장', '화산']",False,False
48,dataset1,57,20210911_사물_표지판_ 도로표지판 패닝샷,"['도로', '한국', '풍경', '사물', '하늘', '표지판', '교통', '표지']",False,False
50,dataset1,59,꽃 배경,"['꽃', '핑크', '배경', '프리뷰', '웨딩']",True,False
52,dataset1,61,211119_동물_서울어린이대공원동물원_잠자는 표범,"['동물', '야생']",False,False
53,dataset1,63,20210901_사물_공구_케이블타이,['사물'],False,False
54,dataset1,65,공방에서 망치로 철 연마하는 대장장이,"['인물', '직업', '철', '고온', '뜨거움', '한국']",False,False
55,dataset1,66,바리스타 커피 카페 라떼아트 종이컵 슬로우모션,"['바리스타', '커피', '카페', '라떼아트', '인물', '직업', '한국']",False,False
56,dataset1,68,올림픽공원_송파구_장미꽃,"['꽃', '행사', '축제', '사람', '서울', '공원', '휴식', '랜드마크', '올림픽공원', '꽃밭', '장미']",False,False
58,dataset1,70,25. C0030 한강북단 야경,"['풍경', '저녁', '도시', '건물', '서울', '경제', '발전', '야경', '강', '도심', '한강', '시티뷰', '낭만', '도심부', '성장', '선진국', '도약']",False,False
59,dataset1,71,전통 한복 입은 도예가가 도자기에 도구를 사용하여 문양을 넣는 장면,"['인물', '작업', '공방', '전통', '도자기', '예술', '도예', '찰흙', '문화', '예술가', '물레', '한복', '문양']",False,False
60,dataset1,72,방사능,"['위험', '환경', '오염']",True,False
61,dataset1,73,환희의 가을,"['도로', '풍경', '집', '배경', '가을', '단풍', '낙엽']",False,False
62,dataset1,74,20210724_소통_황태완,"['권미정_사랑하다', '인물', '사랑', '소통', '여자', '행복', '연인', '남자', '다정', '커플', '여자친구', '남자친구']",False,True
63,dataset1,75,아웃트로 인트로,"['프레임', '프리뷰', '귀여운', '하이라이트']",True,True
64,dataset1,76,20210724_제스처_이수민_가리키다,"['인물', '손가락', '제스쳐', '남자', '주목']",False,True
65,dataset1,77,20210919_장소_하도리_바다와 길 탑뷰(드론),"['장소', '여행', '바다', '파도', '여름', '시원', '해변', '바닷가', '힐링', '피서', '해안']",False,False
67,dataset1,80,비대면 코로나,"['소통', '코로나', '비대면', '온라인', 'COVID']",True,False
68,dataset1,81,20210725_감정_신현아_놀라다,"['인물', '여자', '놀람', '감정', '깜짝', '공포', '당황']",False,True
69,dataset1,82,20211021 동물_개_푸들1_하리네쉼터_떨고 있는 푸들 두 마리(갈색,"['동물', '털', '개', '반려견', '강아지', '애견', '푸들']",False,False
70,dataset1,83,20210831_사물_IT기기_멀티충전케이블,['사물'],False,False
71,dataset1,85,맑은 날씨의 고가도로 아래,"['도로', '날씨', '맑음', '건축물', '시멘트']",False,False
72,dataset1,87,광안리 해안가,"['한국', '풍경', '백그라운드', '해안']",True,False
73,dataset1,88,민들레 홀씨,"['꽃', '자연', '식물', '바람']",False,False
74,dataset1,89,20210724_감정_김보미_우울하다,"['인물', '감정', '쓸쓸', '좌절', '어두운', '우울', '외로운']",False,True
75,dataset1,90,20211021 동물_개_푸들4_하리네쉼터_쉬고 있는 푸들3,"['동물', '휴식', '개', '강아지', '애견', '반려', '푸들', '멍멍', '토이푸들']",False,False
76,dataset1,91,20210912_사물_서울역_파란불에서 빨간불로 바뀌는 횡단보도 신호등 픽스샷,"['안전', '운전', '도시', '사물', '거리', '교통', '신호등', '적색', '빨간불', '보행자', '초록불', '횡단보도', '주황불']",False,False
77,dataset1,94,복주머니 호랑이,"['캐릭터', '한국전통', '새해', '명절', '행운', '근하신년', '연하장', '전통문양', '희망', '돼지']",True,False
78,dataset1,95,고흥우주발사대,"['우주', '과학']",False,False
79,dataset1,96,20210713_문화_전통건축_식수대,"['문화', '한국', '물', '건물', '조선', '건축', '석조', '분수', '역사', '석공', '식수']",False,False
80,dataset1,97,20210912_사물_기차길__정지_ 신호등 픽스샷,"['위험', '도시', '사물', '기차', '멈춤', '신호', '지하철', '교통', '신호등', '정지', '전철']",False,False
81,dataset1,99,재판에서 땅땅 소리내며 판결하는 의사봉 판사,"['인물', '직업', '한국']",False,False
82,dataset1,100,염전 곰소 드론 -29 _2160p_30fps_prores422,"['농사', '밭', '염전', '소금', '부안', '소금밭']",False,False
84,dataset1,103,20211021 동물_개_스피츠2_하리네쉼터_쉬고 있는 스피츠5,"['동물', '휴식', '개', '반려견', '강아지', '반려', '스피츠']",False,False
85,dataset1,104,20210912_사물_서울역_파란색 횡단보도 신호등 픽스샷,"['숫자', '도시', '사물', '사람', '걷기', '신호', '녹색', '교통', '카운트다운', '신호등', '청신호', '그린라이트', '통행', '횡단보도', '법']",False,False
86,dataset1,106,불 요소(그린스크린),"['불', '스티커', '만화', '카툰']",True,True
87,dataset1,107,20210724_감정_권미정_안심하다,"['인물', '사람', '여자', '감정', '다행', '안심', '안도']",False,True
89,dataset1,109,20210912_장소_이촌한강공원_공원 내 도로,"['도로', '장소', '공원', '차도', '한강', '한강공원']",False,False
90,dataset1,112,시티팝 타이포,"['팝', '팩맨', '감성', '레트로', '픽셀', '시티팝', '타이포']",True,False
91,dataset1,113,베스트 3,"['스티커', '탑']",True,True
92,dataset1,114,궁남지연꽃2,"['꽃', '자연', '핑크', '분홍', '이파리', '잎', '꽃잎', '식물', '개화', '연꽃', '벌', '꿀']",False,False
93,dataset1,115,211005_문화_서울시 랜드마크 동상,"['문화', '도로', '버스', '문화재', '서울', '조선', '전경', '랜드마크', '역사', '사대문', '시대', '동대문', '모던', '공존', '보존']",False,False
94,dataset1,116,20210912_장소_한강대교_난간에 기댄 여자 픽스샷 2,"['하늘', '장소', '여자', '뒷모습', '서울', '여행', '머리카락', '휴식', '한강', '여의도', '구경', '스트레칭', '한강대교', '생각']",False,False
95,dataset1,118,20210724_소통_이수민,"['인물', '소통', '여자', '장난', '남자', '놀림', '메롱']",False,True
96,dataset1,120,기분 퐁,"['물', '물결']",True,False
97,dataset1,124,바다,"['파도', '강', '물', '바다', '파도', '해변', '모래', '강', '밀물', '썰물']",False,False
98,dataset1,125,20210725_감정_김동아_재미있다,"['인물', '웃음', '재미', '여자', '놀람', '행복', '감정', '기쁨']",False,True
99,dataset1,127,계곡 촬영 (3),"['나무', '자연', '물', '숲', '바위', '여름', '힐링', '물가', '계곡', '물놀이', '캠핑']",False,False
100,dataset1,128,20210724_제스처_이수민_손으로 딱 소리를 내다(스냅),"['인물', '손가락', '사람', '제스쳐', '남자', '아싸', '스냅', '딱', '좋아']",False,True
101,dataset1,129,20210725_소통_신현아,"['인물', '사랑', '소통', '여자', '표현', '감정', '연인', '남자', '부부', '커플', '애정', '스킨십']",False,True
102,dataset1,131,211005_문화_서울시 랜드마크 동상,"['문화', '문화재', '건물', '서울', '조선', '돌담', '랜드마크', '역사', '사대문', '조선시대', '시대', '동대문', '공존', '보존', '사극', '드라마']",False,False
103,dataset1,133,올림픽공원_송파구_핑크뮬리 (4),"['꽃', '자연', '행사', '서울', '공원', '식물', '힐링', '송파', '송파구', '꽃밭', '핑크뮬리']",False,False
104,dataset1,134,20210824_사물_장난감블럭_회전,['사물'],False,False
105,dataset1,135,한의원,"['의사', '의료', '병원', '한국', '치료', '진료', '동양']",True,False
107,dataset1,137,누룽지,"['한국', '음식', '요리']",False,False
108,dataset1,138,사인암_단양_청련암 (2),"['나무', '절', '바위', '구름', '산', '힐링', '단양군', '청련암', '사인암', '산속']",False,False
110,dataset1,140,211026_문화_음식_떡볶이_새우튀김 틸업샷,"['문화', '음식', '새우', '분식', '떡볶이', '튀김', '국물']",False,False
111,dataset1,141,클라우드 공유 업로드,"['스마트폰', '컴퓨터', '공유', '업로드', '인포그래픽', '인포']",True,True
112,dataset1,143,화살표 1,"['화살표', '방향']",True,False
113,dataset1,144,터지는 파티클(water),"['물감', '스티커', '물', '붓', '워터', '꾸미기', '컬러', '파티클', '색감']",True,True
114,dataset1,145,서울_올림픽대로_성수대교_야경,"['전기', '인터넷', '도시', '자동차', '서울', '빠르다', '불빛', 'IT', '시티', '차도', '야경', '도심', '빠른', '시티뷰', '속도']",False,False
115,dataset1,146,호버링드론,['드론'],False,False
116,dataset1,147,20210724_장소_바다_삼양해수욕장 노을3,"['풍경', '하늘', '장소', '여행', '바다', '파도', '노을', '해변', '휴가', '모래', '석양', '여행지']",False,False
117,dataset1,148,20210910_장소_용담해안도로_노을지는 바다6,['장소'],False,False
118,dataset1,150,은하수,"['갤럭시', '그림', '배경', '우주', '아트', '추상']",False,False
119,dataset1,151,20210901_장소_소래습지생태공원_드론샷00001,"['자연', '물', '장소', '여행', '공원', '식물', '바다', '인천', '모래', '생태', '뻘']",False,False
120,dataset1,154,자막바 모션,"['디자인', '자막', '편집소스', '노랑']",True,True
121,dataset1,155,20211021 동물_개_사모예드_하리네쉼터_개껌 먹는 사모예드5,"['흰색', '하얀', '동물', '털', '간식', '강아지', '사모예드', '대형견']",False,False
122,dataset1,157,20210807_장소_노을_제주 마방목지5,"['하늘', '장소', '말', '구름', '동물', '제주도', '풀', '제주', '사육', '목장', '초원', '풀밭', '마방', '목지']",False,False
123,dataset1,158,나무 바닥 마룻바닥 밀대 걸레로 청소하기 앞면,"['인물', '행동', '집안일', '주부', '청소']",False,False
124,dataset1,162,얼룩 무늬 코리안 숏헤어,"['무늬', '감정', '동물', '고양이', '얼룩', '휴식', '포유류', '고양이과', '쳐다보기', '편안', '한국고양이', '숏헤어', '애완동물', '오레오', '애완묘']",False,False
125,dataset1,163,20210905_장소_수변공원_캠핑장00001,"['취미', '장소', '여행', '휴일', '휴가', '캠핑', '휴가철', '카라반', '야영']",False,False
126,dataset1,165,20210831_사물_그릇_일본종지,['사물'],False,False
127,dataset1,166,20210329_사물_물레방아_회전하는-h264 4k,['사물'],False,False
128,dataset1,167,인트로,"['파랑', '편집소스']",True,False
129,dataset1,168,꽃에 취한 다람쥐,"['풍경', '자연', '그림', '배경', '동물', '다람쥐', '나비', '동화']",False,False
130,dataset1,172,손으로 흙도자기 빚기 클로즈업,"['인물', '직업', '공방', '전통', '흙', '도자기', '예술', '도예', '도예가', '찰흙', '한국']",False,False
131,dataset1,175,장성호 출렁다리,"['랜드마크', '다리']",False,False
132,dataset1,176,20210724_제스처_권미정_손으로 딱 소리를 낸다(스냅),"['인물', '손가락', '제스쳐', '스냅']",False,True
133,dataset1,177,아파트 4K LOG,"['풍경', '공원', '건축', '아파트', '신도시']",False,False
134,dataset1,178,20210724_감정_이수민_화내다,"['인물', '분노', '불만', '감정', '싸움', '남자', '화', '한숨', '흥분']",False,True
135,dataset1,179,20210912_장소_망원한강공원_운동기구를 돌리는 손 픽스샷,"['한국', '장소', '운동', '서울', '헬스', '한강공원', '건강', '관리']",False,False
136,dataset1,180,핑크색 종이접기를 하는 사람,"['인물', '문화', '손', '행동', '만들다', '만드는', '만들기', '키즈', '재미', '발달', '접기', '놀이', '장난감']",False,False
137,dataset1,181,동전 회전,"['돈', '회전', '코인', '머니']",True,True
138,dataset1,182,211006_문화_문화서울역~보신각_보신각 후면 패닝샷,"['문화', '나무', '한국', '문화재', '건물', '조선', '역사', '종', '서울역', '보신각', '조선시대', '시대', '목조']",False,False
139,dataset1,183,20210724_소통_황태완,['인물'],False,False
140,dataset1,184,교복 입은 학생들,"['교육', '학생', '학교', '신학기', '중학교', '고등학교', '입학', '등하교', '교복', '청소년']",True,False
141,dataset1,185,파티클,"['축제', '폭죽', '축하', '파티', '컨페티', '콘페티', '파티클']",True,True
142,dataset1,186,문광저수지_괴산군_문광저수지 (2),"['충청북도', '괴산군', '문광저수지']",False,False
143,dataset1,187,20210725_감정_엄기영_아프다,"['인물', '사람', '감정', '남자', '건강', '적신호', '고통', '통증']",False,True
144,dataset1,188,20210724_장소_바다_삼양해수욕장 노을,"['태양', '풍경', '하늘', '장소', '여행', '바다', '구름', '노을', '석양', '해안', '항구', '포구']",False,False
146,dataset1,191,해가 지는 우도의 해안도로 옆 돌담과 전봇대,"['시골', '꽃', '풍경', '하늘', '장소', '바다', '섬', '파란', '여름', '구름', '날씨', '제주도', '산', '화강암', '해안도로', '우도', '제주', '표지판', '편한']",False,False
147,dataset1,192,검색창,"['인터넷', '브라우저', '검색', '초록']",True,False
148,dataset1,193,20210725_소통_신현아,"['인물', '소통', '재미', '축제', '여자', '남자', '파티', '댄스', '청춘']",False,True
149,dataset1,194,211121_반려동물_개_엎드려 있는 페키니즈,"['집', '동물', '휴식', '개', '반려견', '강아지', '애견', '소형견', '페키니즈']",False,False
150,dataset1,195,20211012_소통_이수민,"['김보미', '소통', '분노', '사람', '여자', '토론', '대화', '싸움', '남자', '다툼', '회의', '불편', '잘못', '이야기', '언쟁']",False,True
151,dataset1,196,20210831_사물_나침반_회전,['사물'],False,False
152,dataset1,197,프리뷰,"['감성', '화면', '필름', '종이', '채널', '배경', '오프닝', '프레임', '프리뷰', '화면전환', '하이라이트']",True,True
154,dataset1,200,염전 곰소 드론 -30 _2160p_30fps_prores422,"['농사', '염전', '소금', '부안', '소금밭']",False,False
155,dataset1,201,숲 속에서3,"['나무', '태양', '풍경', '자연', '잎', '줄기', '공원', '식물', '계절', '해', '햇빛', '실외', '풀', '녹색']",False,False
156,dataset1,202,20210725_소통_신현아,"['인물', '소통', '여자', '대화', '표현', '남자', '고민', '위로', '상담', '걱정', '공감']",False,True
157,dataset1,203,20210724_감정_권미정_열광적이다,"['인물', '재미', '여자', '신남', '행복', '감정', '기쁨', '만세']",False,True
158,dataset1,204,20210713_문화_전통건축_절구,"['도구', '전통', '문화', '한국', '요리', '조선', '돌', '보존', '곡식', '가루']",False,False
159,dataset1,205,20210725_소통_엄기영,"['인물', '소통', '토론', '대화', '논쟁', '설득', '상담']",False,True
160,dataset1,206,20210725_제스처_남찬규_박수치다,"['인물', '행동', '박수', '제스쳐', '손뼉', '제스처']",False,True
161,dataset1,209,컬러 LP 돌아가는 모습,"['옛날', '레트로', '음악', '컬러', '복고', '추억', '음원', '디스크']",False,False
162,dataset1,210,357ND850_분당중앙공원_성남시_분당호,"['전통', '문화', '공원', '연못', '호수', '석조', '교량']",False,False
163,dataset1,211,211006_문화_문화서울역~보신각_보신각 정면 클로즈업 패닝샷,"['문화', '한옥', '문화재', '서울', '기와', '조선', '새해', '목재', '종', '종로', '보신각', '목조', '기둥']",False,False
164,dataset1,212,20210919_장소_아부오름_평화로운 소들2,['장소'],False,False
165,dataset1,213,유튜브 좋아요,"['버튼', '회색', '언론', '공유', '성공', '심벌', '어플리케이션', '추천', '소셜미디어']",True,True
166,dataset1,214,순록을 타고 날으는 산타 할아버지 그린스크린,"['할아버지', '산타할아버지', '캐릭터', '크리스마스', '산타', '루돌프', '사슴']",True,True
167,dataset1,215,438ND850_올림픽공원_송파구_나홀로나무,"['나무', '하늘', '공원', '오후', '올림픽공원', '송파', '송파구', '나홀로', '나홀로나무', '해질녘']",False,False
168,dataset1,216,개망초,"['꽃', '꽃잎', '식물']",False,False
169,dataset1,217,20211021 동물_개_푸들4_하리네쉼터_쉬고 있는 푸들1,"['동물', '휴식', '개', '강아지', '푸들']",False,False
170,dataset1,218,20211021 동물_개_보스턴테리어_하리네쉼터_쉬고 있는 보스턴테리어2,"['동물', '잔디', '개', '반려견', '강아지', '보스턴테리어']",False,False
171,dataset1,219,20210905_장소_남한강_드론샷00001,"['나무', '자연', '물', '하늘', '숲', '장소', '여행', '구름', '산', '휴가', '강', '하천', '남한강', '캠핑']",False,False
172,dataset1,222,보행자 자전거 겸용도로,"['문화', '도로', '한국', '표지판', '교통', '표시', '보행', '자전거', '보행자', '약속', '사인']",False,False
173,dataset1,223,두리번거리는 노란눈 검정색 폴드 고양이,"['검정', '눈', '집', '노랑', '동물', '고양이', '휴식', '귀여움', '쳐다보기', '경계', '실내', '애완동물', '두리번', '눈치']",False,False
174,dataset1,224,20210801_사물_실_회전하는,['사물'],False,False
175,dataset1,225,스탠드 조명 옮기는 구도 잡는 조명감독 방송 PD,"['방송', '감독', '촬영', '인물', '직업', '조명', '스탠드']",False,False
176,dataset1,228,연보라색 구름 프리뷰,"['스티치', '구름', '프리뷰']",True,True
177,dataset1,229,고석정꽃밭_철원_백일홍,"['꽃', '자연', '하늘', '식물', '꽃밭', '철원', '백일홍', '농장']",False,False
178,dataset1,230,자녀교육,"['그림', '배경', '동물', '오리', '새끼', '아트', '동화']",False,False
179,dataset1,231,20210713_사물_깃발_태극기3,"['문화', '한국', '바람', '대한민국', '태극기', '애국', '국기', '독립', '애국심', '국가']",False,False
180,dataset1,232,20210911_장소_도로_제2경인고속도로00002,"['도시', '차', '장소', '자동차', '돈', '발전', '신호', '규칙', '성장', '국가', '고속', '고속도로', '법']",False,False
181,dataset1,233,20210820_장소_우도_우도의 평온함4,['장소'],False,False
183,dataset1,236,사찰과 도시의 밤 4k 30p,"['풍경', '밤', '저녁', '도시', '사찰', '빛', '건물', '불빛', '경관', '야경']",False,False
184,dataset1,237,제스처_약속하다,"['인물', '손', '손가락', '제스쳐', '약속']",False,False
185,dataset1,238,211119_동물_서울어린이대공원동물원_걸어다니는 사슴,"['사슴', '동물', '동물원']",False,False
186,dataset1,240,20210802_문화_공예_자개스티커제작00012,"['전통', '문화', '꽃', '스티커', '손', '만들기', '벛꽃', '자개', '나전칠기', '칠기', '장인', '제작']",False,False
187,dataset1,241,20210919_장소_구좌읍_나무위로 반짝이는 빛,['장소'],False,False
188,dataset1,242,노트,"['다이어리', '노트', '다꾸', '동그라미']",True,False
189,dataset1,243,파란색 인터넷 브라우저 인터페이스 창,"['인터넷', '파랑', '버튼', '파란', '온라인', '브라우저', 'UI', '인터페이스', '웹', 'IT', '검색', '모니터', '웹사이트', '사이트']",True,True
190,dataset1,244,20210724_감정_황태완_기쁘다,"['인물', '행복', '즐거움', '감정', '기쁨', '합격']",False,True
191,dataset1,245,RIVER 6,"['풍경', '자연', '물', '물가', '강', '다리', '강가']",False,False
192,dataset1,246,20210803_사물_수조_공기방울나오는,"['사물', '공기', '해양', '실험실', '번식', '연구']",False,False
193,dataset1,247,도로,"['도로', '한국', '자동차', '발전', '항공', '드론샷', '고속도로']",False,False
194,dataset1,248,20210724_소통_문정수,"['인물', '소통', '충격', '소식', '패배', '실망']",False,True
195,dataset1,250,지칭 인포그래픽,"['화면', '과학', 'IT', '기술', '인포그래픽', '인포']",True,True
196,dataset1,251,물에 비친 하늘,"['하늘', '식물', '연못', '반사', '강', '저수지']",False,False
197,dataset1,252,20210911_장소_빌딩과 하늘_빌딩과 하늘,"['나무', '도시', '장소', '건물', '서울', '경제', '발전', '여름', '빌딩', '고층건물', '봄', '고층', '고층빌딩', '도심부', '성장', '선진국', '개발']",False,False
199,dataset1,254,20210724_제스처_이수민_병을 열다(물병 등),"['인물', '물', '뚜껑', '플라스틱', '환경', '제스쳐', '오염', '물병']",False,True
201,dataset1,257,20210724_감정_권미정_슬프다,"['인물', '여자', '감정', '슬픔', '좌절', '우울', '외로움']",False,True
202,dataset1,258,나무 바닥 마룻바닥 밀대 걸레로 청소하기 측면,"['인물', '행동', '집안일', '주부', '청소']",False,False
203,dataset1,259,주방에서 정리대에 접시를 정리하는 사람 손 주부,"['인물', '손', '행동', '정리', '집안일', '주부', '청소', '접시', '주방', '집', '그릇']",False,False
204,dataset1,261,감정_두 손을 모으고_간절하다,"['인물', '손', '감정', '소망', '간절', '희망', '합성', '기도', '기독교', '종교']",False,True
205,dataset1,262,20220619_충남 비인해변 드론,"['자연', '장소', '여행', '바다', '서해', '배경', '해변', '항공촬영', '갯벌', '충남', '밀물', '썰물']",False,False
206,dataset1,263,20210816_구좌읍의어느초원_초원에 있는 말 한쌍,"['나무', '풍경', '장소', '말', '동물', '제주도', '제주', '목장', '구좌읍', '초원', '풀밭', '농장', '울타리']",False,False
207,dataset1,264,공유 더보기란 아이콘 그린스크린,"['공유', '소셜']",True,True
209,dataset1,267,애플 맥 아이메세지 imessage,"['스마트폰', '애플', '문자', '메세지', '메시지', '소통', '화면', '아이폰', '어플']",True,False
211,dataset1,269,해질무렵,"['하늘', '식물', '구름', '노을']",False,False
212,dataset1,270,20210724_제스처_권미정_컵에 물을 따르다,"['인물', '컵', '물', '종이컵', '플라스틱', '제스쳐', '페트병', '생수', '식수']",False,True
213,dataset1,271,20211021 동물_개_푸들2_하리네쉼터_아래를 바라보는 푸들5,"['의자', '동물', '강아지', '애견', '반려', '푸들', '말티즈']",False,False
214,dataset1,272,20211021 동물_개_스피츠_하리네쉼터_쉬고 있는 스피츠3,"['동물', '휴식', '졸림', '개', '반려견', '강아지', '반려', '스피츠']",False,False
215,dataset1,273,20210724_장소_바다_섭지방파제에서 바라본 성산일출봉,"['한국', '파랑', '하늘', '장소', '여행', '바다', '파도', '파란', '제주도', '화강암', '제주', '돌', '휴가', '푸른', '화산']",False,False
216,dataset1,274,211026_문화_음식_모듬 튀김 패닝샷,"['문화', '한국', '음식', '요리', '분식', '튀김']",False,False
218,dataset1,276,20210725_감정_김동아_자랑하다,"['인물', '사람', '여자', '감정', '자신감', '자랑']",False,True
219,dataset1,277,20210724_감정_황태완_두렵다,"['인물', '감정', '눈치', '남자', '공포', '초조', '두려움', '불안']",False,True
220,dataset1,279,화나고 짜증 폭발 모션,"['열', '분노', '화남', '감정', '짜증', '싸움', '갈등', '논쟁', '스트레스', '슬픔']",True,True
221,dataset1,280,매출 그래프 아이콘,"['스티커', '상승', '주식', '주가', '아이콘', '인포그래픽', '인포']",True,True
